Year,USEndingStocks,ROWEndingStocks,USTotalUse,WorldTotalUse,PriceRecievedFarmers
1975,633.2,36411,5767.054,228199,2.54
1976,1135.6,39491,5789.2,235034,2.15
1977,1435.9,40833,6207.139,246973,2.02
1978,1709.5,47957,6995.479,254029,2.25
1979,2034.3,59481,7604.06,273641,2.52
1980,1392.1,67180,7282.444,293625,3.11
1981,2536.6,62725,6974.706,290686,2.5
1982,3523.1,60273,7249.09,279377,2.55
1983,1006.3,63421,6692.759,287033,3.21
1984,1648.2,76287,7031.963,297524,2.63
1985,4039.522,75069,6494.029,285517,2.23
1986,4881.693,80862,7385.35,298388,1.5
1987,4259.086,89488,7757.318,304440,1.94
1988,1930.428,96217,7260.121,319881,2.54
1989,1344.457,98715,8119.826,327783,2.36
1990,1521.245,102761,7760.655,319954,2.28
1991,1100.311,113106,7915.336,332232,2.37
1992,2112.981,109068,8471.119,339172,2.07
1993,850.143,107849,7621.383,349304,2.5
1994,1557.84,113777,9352.38,353437,2.26
1995,425.942,122467,8548.436,376204,3.24
1996,883.161,143886,8788.599,382278,2.71
1997,1307.803,133982,8791,388191,2.43
1998,1786.977,145972,9298.317,395867,1.94
1999,1717.549,150779,9514.784,412536,1.82
2000,1899.108,126880,9740.316,412710,1.85
2001,1596.426,110808,9815.402,424591,1.97
2002,1086.673,99276,9490.986,427821,2.32
2003,958.091,80334,10229.95,438453,2.42
2004,2113.972,77364,10660.53,465941,2.06
2005,1967.161,73472,11267.804,475772,2
2006,1303.647,75639,11206.62,499570,3.04
2007,1624.15,86418,12737.393,515187,4.2
2008,1673.311,100739,12007.572,526638,4.06
2009,1707.787,97474,13041.023,546250,3.55
2010,1127.645,93924,13033.141,570041,5.18
2011,989.027,103071,12481.947,607875,6.22
2012,821.185,112089,11082.899,606563,6.89
2013,1231.904,142987,13454.039,661861,4.46
2014,1731.164,165766,13747.918,686099,3.7
2015,1737.058,170837,13663.635,669447,3.61
2016,2293.303,171509,14648.801,747315,3.36
2017,2352.37,143333,14595,749749,3.3
